epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9219,1.51011,3.64514,1.19909,0.00588,0.87077,0.0172,0.00723,1.42482,3.70149,1.16743,3.334e-05,3.334e-05,3.334e-05
2,23.551,1.5461,3.67712,1.25083,0.00615,0.89572,0.04689,0.01395,1.06325,3.66629,1.07418,8.16997e-05,8.16997e-05,8.16997e-05
3,35.0451,1.26681,3.40491,1.13978,0.00665,0.94029,0.08472,0.03097,0.98278,3.62047,1.02311,0.000128079,0.000128079,0.000128079
4,46.2332,1.17794,2.99671,1.06086,0.00706,0.97504,0.36284,0.2149,0.9997,3.47944,0.94867,0.000172478,0.000172478,0.000172478
5,57.1522,1.17026,2.76737,1.0986,0.00714,0.96524,0.46344,0.28152,1.0025,3.39341,0.9328,0.000214896,0.000214896,0.000214896
6,67.0884,1.3144,2.59964,1.12198,0.00719,0.97504,0.49481,0.30941,0.99339,3.35672,0.93151,0.000255334,0.000255334,0.000255334
7,77.3239,1.26654,2.38624,1.09759,0.00722,0.97504,0.51281,0.32793,0.9277,3.31521,0.92543,0.000293792,0.000293792,0.000293792
8,87.5477,1.15946,2.10211,1.05724,0.0071,0.96524,0.49718,0.33088,0.88787,3.3065,0.92194,0.000330269,0.000330269,0.000330269
9,98.3551,1.17443,2.0002,1.09635,0.00727,0.97504,0.47662,0.3033,0.8942,3.31993,0.93785,0.000364766,0.000364766,0.000364766
10,109.524,1.15416,1.97494,1.09555,0.00742,0.97504,0.44866,0.28111,0.89132,3.3545,0.94836,0.000397283,0.000397283,0.000397283
11,120.892,1.20329,1.95372,1.13106,0.00735,0.97504,0.48469,0.28503,0.97854,3.34425,0.96491,0.000427819,0.000427819,0.000427819
12,131.408,1.21638,2.06209,1.11192,0.00732,0.97504,0.54371,0.34124,0.93732,3.31342,0.94512,0.000456375,0.000456375,0.000456375
13,141.506,1.13135,1.71855,1.08214,0.0075,0.97504,0.47993,0.30327,0.89197,3.34382,0.95635,0.00048295,0.00048295,0.00048295
14,152.707,1.21717,1.73626,1.12907,0.00741,0.97504,0.45573,0.27953,0.97661,3.34097,0.98126,0.000507545,0.000507545,0.000507545
15,162.759,1.07856,1.69334,1.02481,0.00714,0.96524,0.53486,0.34768,1.00518,3.26273,0.96034,0.000530159,0.000530159,0.000530159
16,172.415,1.1225,1.48618,1.03255,0.00684,0.95544,0.56343,0.38228,0.91039,3.20377,0.94263,0.000550793,0.000550793,0.000550793
17,182.622,1.1001,1.46129,1.03476,0.00678,0.96524,0.65161,0.4934,0.77749,3.08519,0.96128,0.000569447,0.000569447,0.000569447
18,194.883,1.0483,1.42278,1.00645,0.0068,0.97504,0.65167,0.49578,0.86264,3.04888,0.96777,0.000586121,0.000586121,0.000586121
19,207.403,1.04804,1.28313,1.01027,0.13953,0.72193,0.66445,0.48647,0.96854,3.03079,0.98224,0.000600813,0.000600813,0.000600813
20,219.148,1.0929,1.39001,1.03773,0.97585,0.47496,0.71268,0.52483,0.93854,2.96724,0.986,0.000613526,0.000613526,0.000613526
21,230.063,1.04714,1.41541,1.07055,0.9797,0.4762,0.77713,0.59748,0.8766,2.95148,0.99026,0.000624258,0.000624258,0.000624258
22,240.732,1.10714,1.33889,1.07159,1,0.23393,0.86109,0.6765,0.80233,2.79785,0.96353,0.00063301,0.00063301,0.00063301
23,251.832,0.98721,1.3311,1.00708,1,0.19886,0.91041,0.69364,0.89267,2.67067,0.97668,0.000639781,0.000639781,0.000639781
24,264.302,0.98175,1.27769,1.01923,1,0.14641,0.90325,0.62293,1.0494,2.70371,1.01629,0.000644572,0.000644572,0.000644572
25,277.69,0.94122,1.26698,0.98983,1,0.28063,0.90604,0.654,0.95858,2.63672,1.001,0.000647383,0.000647383,0.000647383
26,289.749,0.896,1.19321,0.96737,1,0.42925,0.92544,0.6911,0.90386,2.53282,0.97596,0.000648213,0.000648213,0.000648213
27,301.245,0.95255,1.23563,0.96627,1,0.47947,0.92479,0.68638,0.95533,2.48281,0.98534,0.000647063,0.000647063,0.000647063
28,314.065,0.97419,1.16152,0.98214,0.98067,0.4443,0.92183,0.65665,1.02201,2.42915,0.99296,0.000643932,0.000643932,0.000643932
29,327.118,0.91071,1.17487,0.97015,0.98067,0.4443,0.92183,0.65665,1.02201,2.42915,0.99296,0.000638821,0.000638821,0.000638821
30,341.174,0.9113,1.13676,0.99368,0.98059,0.66105,0.94938,0.68177,0.97114,2.21754,0.98075,0.00063173,0.00063173,0.00063173
31,355.51,0.87072,1.12826,0.96663,1,0.85122,0.96941,0.76439,0.80337,1.90041,0.93416,0.000622658,0.000622658,0.000622658
32,371.572,0.83826,1.06136,0.94224,0.9893,0.86917,0.97004,0.78664,0.73784,1.74545,0.91909,0.000611606,0.000611606,0.000611606
